open_time,open,high,low,close,volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,return,log_return,ma_7,ma_25,ma_99,ema_12,ema_26,macd,macd_signal,bb_middle,bb_upper,bb_lower,bb_width,hour,day_of_week,is_weekend,month,target_binary,target_pct_change,target_abs_change,target_multiclass,target_log_return,target_normalized_change
2024-11-08 12:00:00,75952.0,76189.9,75940.0,76078.9,5211.542,2915.219,221671978.1392,0.001672110901768109,0.001670714480764678,76018.25714285714,75901.02799999999,72607.94343434344,75984.27301388224,75754.99882960542,229.2741842768155,283.91645710162265,76048.855,76546.08809571208,75551.62190428791,0.013076675400624682,12,4,0,11,1,-0.26402622957697464,201.40000000000873,2,0.0026437539355157872,0.8100828433795872
2024-11-08 13:00:00,76078.4,76300.0,75855.0,76280.3,7908.982,3965.444,301591667.8091,0.0026472517347124747,0.0026437539355157872,76075.04285714285,75951.53600000001,72683.3303030303,76029.81562713112,75793.91005954544,235.90556758567982,274.3142791984341,76049.115,76546.85139302858,75551.37860697143,0.013089866805907712,13,4,0,11,0,0.6886346896589846,-521.6999999999971,3,-0.006862744304934328,-2.0962903549067176
2024-11-08 18:00:00,76390.0,77069.8,76347.1,76803.0,22926.757,12278.253,942062948.4588,0.00540646681502821,0.00539190433743863,76235.8,76090.948,73066.16767676768,76198.45815721033,75952.41402007142,246.044137138917,234.39598828793797,76049.31999999999,76583.57638079369,75515.0636192063,0.01405026056232184,18,4,0,11,1,-0.11886431261574071,91.39999999999418,2,0.0011893501226980345,0.3421578226677974
2024-11-08 19:00:00,76802.8,77182.9,76728.4,76894.4,15879.932,7713.071,593816108.5131,0.0011900576800385476,0.0011893501226980345,76352.3,76102.452,73158.66767676767,76305.52613302413,76022.19079563694,283.33533738719416,244.18385810778923,76101.07,76746.7554834799,75455.38451652012,0.016969156504103997,19,4,0,11,0,0.43219027343315286,-330.8999999999942,2,-0.00431259013516597,-1.0249572228729011
2024-11-08 20:00:00,76894.4,77080.4,76401.1,76563.5,15592.359,7334.344,562098766.1862,-0.004303304271832453,-0.00431259013516597,76392.75714285715,76103.66,73247.05555555556,76345.2144202512,76062.28779305857,282.9266271926317,251.93241192475776,76128.93000000001,76804.77766922562,75453.0823307744,0.01775534397306275,20,4,0,11,0,0.1309123057567474,-100.10000000000582,2,-0.001308266903103852,-0.29622059691134384
2024-11-08 21:00:00,76563.5,76675.1,76352.7,76463.4,6415.22,3090.686,236435371.0107,-0.0013074114950336613,-0.001308266903103852,76493.44285714286,76105.552,73336.20505050504,76363.39681713562,76091.99982164375,271.3969954918721,255.82532863818065,76153.035,76840.99344205714,75465.07655794287,0.018067787897281667,21,4,0,11,0,0.14852652259331744,-113.39999999999418,2,-0.0014841633104936255,-0.3296710762366192
2024-11-08 22:00:00,76463.4,76600.0,76278.5,76350.0,4623.227,2149.277,164366345.8872,-0.0014830624847965712,-0.0014841633104936255,76482.97142857141,76125.004,73422.10707070706,76361.33576834553,76111.11095386138,250.22481448414328,254.7052258073732,76184.50499999999,76846.25711601497,75522.75288398501,0.017372354549392354,22,4,0,11,1,-0.17285067636652052,132.1999999999971,2,0.0017300023551564485,0.3995453790023293
2024-11-08 23:00:00,76350.0,76502.0,76280.1,76482.2,3136.759,1627.846,124379920.9532,0.001731499672560588,0.0017300023551564485,76563.78571428571,76149.59599999999,73514.44141414142,76379.93026552314,76138.5990418675,241.3312236556376,252.03042537702612,76213.595,76873.91110444326,75553.27889555674,0.017328039818703306,23,4,0,11,0,0.09514523717599754,-72.69999999999709,2,-0.0009510000278518612,-0.22019756753005712
2024-11-09 00:00:00,76482.2,76618.3,76339.1,76409.5,4076.52,1978.202,151353173.1061,-0.0009505479706388709,-0.0009510000278518612,76566.57142857143,76171.6,73608.50707070707,76384.47945544266,76158.66578661404,225.81366882861766,246.78707406734446,76242.425,76882.80468301525,75602.04531698476,0.0167985129805418,0,5,1,11,0,0.14351245085189035,-109.5,2,-0.0014340957015346583,-0.3419846160136861
2024-11-09 01:00:00,76409.4,76529.6,76230.7,76300.0,3846.096,1832.402,139908609.45,-0.001433067877685379,-0.0014340957015346583,76494.71428571429,76183.348,73693.29494949496,76371.48261614378,76169.13499103884,202.3476251049433,237.89918427486427,76258.125,76887.3334346289,75628.9165653711,0.01650206937631642,1,5,1,11,1,-0.1551978183321978,118.60000000000582,2,0.0015531837489651229,0.3769815961521635
