open_time,open,high,low,close,volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2024-11-01 00:00:00,70321.9,70500.0,70160.9,70188.6,6293.539,3122.97,219650270.5021
2024-11-01 01:00:00,70188.7,70384.6,69312.2,69424.9,23094.976,9133.652,637407952.6586
2024-11-01 02:00:00,69424.9,69621.2,68870.4,69592.7,25645.369,12269.503,849623340.7967
2024-11-01 03:00:00,69592.7,69739.0,69357.1,69397.7,6709.285,3069.884,213563233.8988
2024-11-01 04:00:00,69397.7,69650.0,69363.9,69618.5,3543.899,1949.728,135516392.2082
2024-11-01 05:00:00,69618.6,69702.5,69549.3,69630.4,2866.772,1327.819,92454210.1934
2024-11-01 06:00:00,69630.4,69721.8,69237.9,69240.1,7636.495,3307.131,229664291.8072
2024-11-01 07:00:00,69240.0,69444.0,69100.9,69301.0,7932.33,4260.211,295117799.5819
2024-11-01 08:00:00,69301.0,69564.9,69270.0,69399.0,5218.873,2642.954,183497763.8329
2024-11-01 09:00:00,69399.1,69618.2,69338.3,69556.0,3426.559,1747.121,121448424.1687
2024-11-01 10:00:00,69555.9,70176.0,69540.3,69999.9,17176.937,8886.582,621273679.2606
2024-11-01 11:00:00,70000.0,70248.6,69999.9,70024.8,7476.82,3859.368,270704536.8162
2024-11-01 12:00:00,70024.7,70487.8,69905.7,70360.7,15687.488,7917.889,556116160.9824
2024-11-01 13:00:00,70360.6,71249.6,70139.9,71213.2,28353.425,15607.316,1104014952.2134
2024-11-01 14:00:00,71213.2,71650.0,70913.0,71273.4,37237.679,18080.989,1289501866.3692
2024-11-01 15:00:00,71273.5,71365.8,69036.0,69381.0,51336.34,22453.221,1571959361.3897
2024-11-01 16:00:00,69381.1,70543.3,69351.0,69931.0,30654.325,15800.577,1106062355.9636
2024-11-01 17:00:00,69931.0,70209.2,69471.1,69584.0,20292.097,9646.092,673615133.2034
2024-11-01 18:00:00,69584.1,69653.8,69090.0,69175.5,12033.562,5794.915,402126303.2677
2024-11-01 19:00:00,69175.4,69472.0,68822.5,69278.6,19099.089,9378.367,648468350.9894
2024-11-01 20:00:00,69278.6,69471.2,69175.1,69259.0,5690.99,2748.307,190532112.6544
2024-11-01 21:00:00,69258.9,69363.9,68856.3,69275.7,7244.366,3491.197,241228594.5305
2024-11-01 22:00:00,69275.7,69461.5,69240.1,69441.2,4144.827,1947.417,135085415.0753
2024-11-01 23:00:00,69441.2,69634.9,69362.6,69495.5,3795.046,1961.979,136410287.7277
2024-11-02 00:00:00,69495.4,69686.1,69480.8,69671.4,3928.512,2139.095,148882105.6284
2024-11-02 01:00:00,69671.4,69700.0,69504.9,69669.0,2226.239,1048.624,73008012.4092
2024-11-02 02:00:00,69669.0,69913.1,69659.0,69659.0,4562.103,2565.051,179033175.5788
2024-11-02 03:00:00,69659.0,69788.9,69562.5,69599.9,2679.692,1234.884,86055615.1977
2024-11-02 04:00:00,69599.9,69630.0,69472.8,69570.0,2615.344,1116.796,77658348.7232
2024-11-02 05:00:00,69570.0,69736.8,69450.0,69712.6,2666.61,1516.215,105549014.6653
2024-11-02 06:00:00,69712.6,69752.0,69578.5,69752.0,1822.904,967.924,67446387.1216
2024-11-02 07:00:00,69752.0,69822.5,69677.0,69813.1,2375.208,1236.248,86244194.9088
