#{"t_start": 1744531057.9350882, "env_id": "CartPole-v1"}
r,l,t
500.0,500,0.496295
500.0,500,0.935177
500.0,500,1.384594
500.0,500,1.8194
500.0,500,2.268068
500.0,500,2.706937
500.0,500,3.150587
500.0,500,3.59171
500.0,500,4.031624
500.0,500,4.477966
500.0,500,4.921406
500.0,500,5.367198
500.0,500,5.933309
500.0,500,6.509691
500.0,500,7.137403
500.0,500,7.704873
500.0,500,8.328398
500.0,500,8.843504
500.0,500,9.285496
500.0,500,9.733624
